network,state,site_name,description,start,end,latitude,longitude,elev,county,site_id,date,snow_water_equivalent,precipitation_cumulative,temperature_max,temperature_min,temperature_mean,precipitation,latitude_copy
SNTL,ID,couch summit,Lower Little Smoky Creek (170501130204),2021-10-01,2023-11-28,43.52,-114.8,2073,Camas,1306,2023-04-08,640.1,617.2,5.9,-2.7,1.5,0,43.52
SNTL,NV,lamoille upper,Thomas Creek-Lamoille Creek (160401010607),2022-08-01,2023-11-28,40.6,-115.38,2741,Elko,1310,2023-04-24,1493.5,1089.7,6.1,-6,0.4,0,40.6
SNTL,OR,fifteenmile,Dog River (170701050503),2022-09-01,2023-11-28,45.35,-121.53,1820,Hood River,1314,2023-04-25,1140.5,1379.2,12,-6.1,2.5,0,45.35
SNTL,UT,atwater,Headwaters Little Cottonwood Canyon (160202040202),2022-08-01,2023-11-28,40.59,-111.64,2668,Salt Lake,1308,2023-04-29,1940.6,1673.9,10.8,1.3,6,0,40.59
SNTL,UT,rockwood gs,Outlet Clear Creek (160300030105),2022-09-01,2023-11-28,38.67,-112.33,2619,Sevier,1309,2023-04-07,627.4,604.5,6.5,-6.3,1.1,0,38.67
SNTL,ID,fish ck,Upper Fish Creek (170402210401),2021-09-01,2023-11-28,43.56,-113.72,1929,Blaine,1305,2023-04-08,472.4,462.3,6.7,-1.7,2.2,0,43.56
SNTL,ID,pebble creek,Pebble Creek (170402080206),2021-06-01,2023-11-28,42.77,-112.11,1985,Caribou,1299,2023-04-12,853.4,876.3,12,-1.1,6.1,2.5,42.77
SNTL,NM,taos pueblo,La Junta Creek-Rio Pueblo de Taos (130201010602),2021-09-01,2023-11-28,36.54,-105.36,3359,Colfax,1307,2023-04-10,510.5,744.2,12.1,-1.2,6.1,0,36.54
SNTL,UT,gold basin,Upper Pack Creek (140300050401),2021-09-01,2023-11-28,38.47,-109.26,3071,San Juan,1304,2023-04-08,886.5,881.38,6.7,-4.8,0.4,0,38.47
SNTL,UT,powder mountain,Davenport Creek (160102030102),2021-07-01,2023-11-28,41.37,-111.77,2592,Cache,1300,2023-04-27,1338.6,1313.2,9.4,-1.9,4.5,0,41.37
SNTL,UT,wolf creek peak,Mill Hollow-South Fork Provo River (160202030104),2020-08-01,2023-11-28,40.48,-111.04,2986,Wasatch,1164,2023-04-27,947.4,759.5,5.3,-3.2,1.7,0,40.48
SNTL,WA,mt. tebo,Upper South Fork Skokomish River (171100170101),2020-07-01,2023-11-28,47.46,-123.41,1031,Mason,1126,2023-04-22,1176,2761,7.9,1.5,5.4,15.2,47.46
SNTL,UT,parleys upper,Parleys Creek (160202040302),2019-08-01,2023-11-28,40.7,-111.61,2546,Salt Lake,856,2023-04-28,1198.9,1059.2,13.5,-2.3,4.2,0,40.7
SNTL,MT,jl meadow,Dad Creek-Medicine Lodge Creek (100200011202),2017-10-01,2023-11-28,44.78,-113.12,2682,Beaverhead,1287,2023-04-28,472.4,436.9,13.4,-5.4,4.5,0,44.78
SNTL,NV,oneil creek,Pole Creek (170402130106),2018-06-01,2023-11-28,41.86,-115.08,1987,Elko,1272,2023-04-08,393.7,358.1,8.7,-2.6,3,0,41.86
SNTL,CA,fredonyer peak,Lower Dry Lake-Frontal Eagle Lake (180800030304),2016-10-01,2023-11-28,40.69,-120.61,2197,Lassen,1277,2023-04-08,629.9,584.2,9,-1.7,2.7,0,40.69
SNTL,MT,slagamelt lakes,Big Swamp Creek (100200040308),2017-09-01,2023-11-28,45.37,-113.72,2627,Beaverhead,1286,2023-04-29,741.7,769.6,15.2,3.3,8.4,0,45.37
SNTL,UT,bobs hollow,North Fork Chalk Creek (160300051401),2016-10-01,2023-11-28,38.95,-112.15,2840,Millard,1278,2023-04-07,675.6,779.8,8.9,-4.1,2,0,38.95
SNTL,UT,santaquin meadows,Summit Creek (160202010301),2016-10-01,2023-11-28,39.92,-111.72,2388,Utah,1280,2023-04-07,952.5,830.6,11.8,-8.4,2.6,0,39.92
SNTL,CO,elkhead divide,Headwaters Elkhead Creek (140500010601),2016-09-01,2023-11-28,40.8,-107.1,2682,Routt,1252,2023-04-10,856,807.7,11.9,-1.1,6.2,0,40.8
SNTL,NM,garita peak,Headwaters San Antonio Creek (130202020201),2016-09-01,2023-11-28,36,-106.55,3083,Rio Arriba,1173,2023-03-28,348,467.4,4,-10.2,-2.5,0,36
